rank,len_titles,time_since_post,points,comments,hours_and_points,is_on_front_page,score
1,65,8.0,373,120,37.30283619649964,1,1.8048218990483933
2,78,3.0,77,65,47.70326575103059,1,1.7640255292568143
3,77,7.0,190,28,50.300193908825534,1,1.2692083667407166
4,36,5.0,112,49,50.89770191175782,1,1.3034125880818317
5,74,6.0,137,133,51.833534382180815,1,1.2057829820521078
6,38,8.0,177,26,54.58704680294763,1,0.9917680978461745
7,17,7.0,146,52,54.18032282047712,1,1.0267338605170362
8,78,1.0,1,0,48.12440425797872,1,0.0
9,52,3.0,45,25,50.525177686777205,1,1.139242382534439
10,63,5.0,51,24,56.2769715392748,1,0.6886515533632156
11,80,14.0,376,256,55.88098897387364,1,0.7794873030064372
12,42,2.0,22,6,49.412975720370035,1,0.9420358951876051
13,73,5.0,83,10,53.455059603528184,1,1.022997588323666
14,72,1.0,18,11,46.62526354211333,1,1.3351832597370425
15,15,6.0,71,38,57.6537277496582,1,0.708788161938894
16,74,6.0,77,56,57.12461926170571,1,0.7569878296196202
17,40,8.0,117,121,59.87813168247253,1,0.7105037776964752
18,45,7.0,69,32,60.970548415867405,1,0.5602354848034485
19,57,6.0,58,67,58.80012947355526,1,0.6013646673876734
20,57,14.0,258,403,66.28678923693927,1,0.576143318661501
21,28,10.0,136,324,64.48352381107306,1,0.5777510878811585
22,61,2.0,10,1,50.47119269627502,1,0.4782841877346716
23,40,6.0,42,14,60.211085441428565,1,0.4620246096583708
24,41,14.0,205,301,70.96058088051959,1,0.4789477806451968
25,62,11.0,197,94,62.24470535378113,1,0.6740728309985216
26,59,10.0,88,117,68.71639171469297,1,0.40652677919129626
27,48,12.0,159,100,68.73617694770526,1,0.49647250886648847
28,72,14.0,193,287,72.01879785642457,1,0.4562732564199044
29,15,9.0,107,27,63.900430332618384,1,0.5568495319096448
30,47,11.0,349,560,48.840623658984725,1,1.0670023133323412
31,65,13.0,143,42,73.28758408580362,0,0.4025931759368962
32,25,13.0,168,49,71.08296538600158,0,0.4583623217703933
33,68,8.0,187,98,53.70519932302682,0,1.036597973249757
34,32,7.0,22,2,65.11523157149523,0,0.21884615403365817
35,66,9.0,117,114,63.01858285269756,0,0.5984936654090555
36,56,5.0,21,5,58.92251397903725,0,0.3308624828975303
37,67,1.0,13,1,47.066187282073734,0,1.010477711006932
38,47,11.0,43,5,75.82515654456168,0,0.1965628308706533
39,72,10.0,262,242,53.37224556407078,0,0.9790078248761329
40,75,4.0,12,0,56.57572554074094,0,0.2706711059386758
41,17,24.0,1387,384,-1.869279543870448,0,0.9256750492685674
42,80,2.0,39,13,47.913835004504655,0,1.5139756592392402
43,42,17.0,384,251,64.5968645006121,0,0.5818386105565536
44,46,11.0,39,8,76.17789553653002,0,0.18143824780483933
45,73,3.0,7,0,53.8761981104763,0,0.23140620096063055
46,35,10.0,43,23,72.68470537433664,0,0.22702474128575817
47,79,1.0,17,3,46.71344829010541,0,1.271972516538005
48,47,24.0,274,31,96.28034497131635,0,0.25233534744638103
49,72,11.0,108,90,70.09314792507638,0,0.4153450012246366
50,73,2.0,20,6,49.589345216354204,0,0.8695506746368334
51,56,13.0,125,136,74.87490954966108,0,0.36122107589055763
52,37,6.0,12,0,62.85662788119102,0,0.16126947477747797
53,28,23.0,440,171,78.50122563440577,0,0.3959857891713033
54,74,2.0,13,0,50.20663845229877,0,0.602056171320173
55,14,14.0,39,9,85.59924904720513,0,0.12485642869273657
56,26,5.0,28,2,58.305220743092676,0,0.420643845720658
57,36,12.0,28,8,80.28837893466795,0,0.12079822340473662
58,77,13.0,32,1,83.07609111292466,0,0.11915851679387168
59,76,24.0,140,52,108.09710120225529,0,0.14704823424126276
60,21,9.0,9,7,72.54253563584237,0,0.07046365333127103
61,27,11.0,26,7,77.32429726042707,0,0.12979380754235587
62,41,19.0,70,2,98.5677777105758,0,0.1233344899325633
63,65,11.0,421,201,42.49132180355485,0,1.2402276178965677
64,67,5.0,5,0,60.33346994691054,0,0.09130015630368528
65,45,18.0,89,84,93.7518163285012,0,0.1635807313450266
66,62,19.0,167,62,90.01385715534389,0,0.2489383117425355
67,74,24.0,242,52,99.10225690706295,0,0.22838186109047487
68,14,19.0,59,9,99.53780993848869,0,0.10733655795855176
69,66,19.0,47,17,100.59602691439368,0,0.0891685151646211
70,22,11.0,16,4,78.2061447403479,0,0.08625315167757563
71,59,6.0,33,5,61.0047481733573,0,0.37892914162759955
72,32,21.0,53,8,106.34782076689126,0,0.08350117179027501
73,37,8.0,26,14,67.90294374975196,0,0.2081383018504683
74,54,4.0,14,0,56.39935604475677,0,0.3093730159900285
75,35,21.0,52,1,106.43600551488333,0,0.08221404872228888
76,64,9.0,52,10,68.75059147218286,0,0.31013394789049153
77,55,7.0,6,0,66.52618753936855,0,0.06942877241617869
78,63,1.0,8,2,47.507111022034145,0,0.6565384621009746
79,18,48.0,1356,126,76.23527572928504,0,0.2801595481933289
80,55,24.0,382,63,86.75639218817153,0,0.3294488183588628
81,36,24.0,434,137,82.1707852925833,0,0.36495413674914706
82,37,7.0,19,9,65.37978581547148,0,0.19345568073247205
83,20,10.0,11,1,75.50661731008326,0,0.07202342287060057
84,70,8.0,212,75,51.50058062322478,0,1.1466370333695286
85,26,24.0,49,68,116.1219132695347,0,0.06281176013694925
86,51,1.0,4,0,47.859850014002475,0,0.33333333333333337
87,37,23.0,203,150,99.4010109085291,0,0.21280855359828593
88,71,7.0,28,12,64.58612308354276,0,0.2675805205867436
89,23,15.0,217,101,73.04281507483964,0,0.4495261310560309
90,39,3.0,55,44,49.64333020685639,0,1.3420509383488868
91,48,10.0,145,237,63.68986107914432,0,0.6083643418932059
92,78,19.0,29,3,102.18335237825114,0,0.059942064209200126
93,56,14.0,12,4,87.98023724299134,0,0.04631249509703119
94,80,1.0,8,4,47.507111022034145,0,0.6565384621009746
95,58,22.0,113,229,104.1971870575914,0,0.1428874820018936
96,52,15.0,123,105,81.33218138609531,0,0.2846294319541889
97,57,13.0,64,53,80.25417917717806,0,0.21013973162002925
98,37,7.0,315,497,39.27710040981533,0,1.9050536092502306
99,31,11.0,17,1,78.11795999235581,0,0.09082344102368313
100,26,24.0,231,34,100.07228913497586,0,0.2200038305258733
101,58,21.0,81,81,103.87864782311297,0,0.11785876467326717
102,24,24.0,32,74,117.6210539854001,0,0.044272834583190764
103,71,2.0,7,4,50.73574694025126,0,0.3457904668056479
104,46,12.0,11,5,81.78751965053334,0,0.054571957945156575
105,58,22.0,107,56,104.7262955455439,0,0.1367302025416487
106,43,24.0,373,124,87.55005492010028,0,0.3232081664993954
107,38,24.0,108,30,110.91901313800189,0,0.11927652991574537
108,52,24.0,355,531,89.13738038395775,0,0.31063514027000905
109,49,24.0,137,68,108.36165544623152,0,0.14450374427179438
110,35,12.0,14,0,81.52296540655709,0,0.06731691697086796
111,23,6.0,8,1,63.20936687315934,0,0.11233535327539783
112,25,16.0,17,1,93.82021584348101,0,0.05055981508837578
113,44,4.0,10,2,56.7520950367251,0,0.23052697787043197
114,25,18.0,74,84,95.07458754838242,0,0.1408653880243024
115,53,24.0,149,330,107.30343847032654,0,0.15461703683851896
116,59,9.0,23,3,71.30794916395323,0,0.1582819205992953
117,52,3.0,5,10,54.052567606460464,0,0.16730232841460374
118,62,24.0,305,49,93.54661778356183,0,0.2750089579964139
119,45,24.0,135,109,108.53802494221569,0,0.14280118533041591
120,65,24.0,204,46,102.45327733076206,0,0.19908787173632794
121,48,14.0,28,11,86.56928127511803,0,0.09498937770848064
122,37,24.0,224,68,100.68958237092042,0,0.21463071092398786
123,76,15.0,49,19,87.85785273750935,0,0.13495374207277283
124,36,48.0,708,275,133.37899242815388,0,0.16649052517221785
125,77,9.0,22,33,71.39613391194531,0,0.15249956416726496
126,26,10.0,4,0,76.12391054602783,0,0.027489748141101965
127,65,24.0,148,12,107.39162321831863,0,0.15378070283193962
128,47,16.0,8,0,94.61387857540973,0,0.026096839995080248
129,14,23.0,28,0,114.83334180714338,0,0.04254014792250399
130,42,5.0,8,3,60.068915702934305,0,0.14285714285714285
131,30,10.0,19,32,74.8011393261466,0,0.11526348893521599
132,77,14.0,49,23,84.71740156728431,0,0.15051404283004327
133,11,5.0,5,5,60.33346994691054,0,0.09130015630368528
134,65,24.0,844,313,46.015038615829845,0,0.6218849308211277
135,56,24.0,86,79,112.85907759382769,0,0.09921631988561923
136,77,6.0,11,2,62.9448126291831,0,0.14943007809219327
137,52,24.0,89,133,112.59452334985144,0,0.1020079714933373
138,80,22.0,62,59,108.69460920518758,0,0.08787870186187714
139,72,48.0,99,35,187.08350395533157,0,0.034263746852844855
140,51,19.0,13,1,103.59430834612445,0,0.03043338543456176
141,21,24.0,92,50,112.3299691058752,0,0.10478064982419608
142,66,7.0,10,0,66.17344854740023,0,0.11111111111111112
143,31,20.0,47,36,103.73647808461871,0,0.0820059643117618
144,26,24.0,80,26,113.38818608178018,0,0.09357280463709414
145,61,24.0,134,50,108.62620969020777,0,0.1419480028062087
146,64,24.0,379,387,87.02094643214778,0,0.3273719109732362
147,76,9.0,15,4,72.01342714788989,0,0.11025431497290061
148,63,24.0,70,18,114.27003356170098,0,0.08397059803863648
149,57,5.0,5,0,60.33346994691054,0,0.09130015630368528
150,41,11.0,20,2,77.85340574837957,0,0.10420890839348167
